Bathrooms (bin),Bedrooms (bin),Condition,Date,Id,Price (bin),View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
2.4,2,Average,5/5/2014,4385700425,1417K,No View,No,2000,98112,2.5,2,2,9,47.6364,-122.28,1425000,2220,4000
3.2,5,Average,4/1/2015,7419500200,1417K,Average,No,2006,98033,3.25,5,2,10,47.6898,-122.189,1420000,3950,11438
3.2,5,Average,10/28/2014,7933250050,1417K,No View,No,2010,98004,3.25,5,2,9,47.6349,-122.204,1419000,4020,4500
4.8,4,Average,6/5/2014,4139900120,1381K,No View,No,1989,98006,5.25,4,2,12,47.5456,-122.126,1415000,4670,43950
3.2,4,Average,10/9/2014,4055700378,1381K,Average,No,1991,98034,3.25,4,2,11,47.7124,-122.253,1415000,3600,38016
2.4,4,Good,8/11/2014,6613001241,1381K,Good,No,1931,98105,3,4,2.5,10,47.6583,-122.27,1415000,3110,4408
2.4,2,Very Good,7/2/2014,7856400300,1381K,Excellent,No,1985,98006,2.5,2,2,10,47.5617,-122.158,1411600,3180,9400
1.6,2,Very Good,4/20/2015,284000025,1381K,Excellent,Yes,1952,98146,2,2,1,9,47.5036,-122.387,1410000,2180,18525
1.6,4,Average,6/26/2014,5427100150,1381K,No View,No,1979,98039,2.25,4,2,9,47.6334,-122.229,1410000,3250,16684
3.2,4,Average,8/25/2014,7237550100,1381K,No View,No,2012,98053,4,4,2,10,47.6575,-122.006,1408760,4920,50621
1.6,5,Very Good,12/5/2014,2524049018,1381K,No View,No,1966,98040,2.25,5,2,9,47.5364,-122.239,1406890,3580,16789
3.2,4,Average,5/19/2014,3225059223,1381K,No View,No,2008,98004,3.5,4,2,10,47.6081,-122.198,1405000,3410,10769
3.2,4,Average,4/27/2015,4054530240,1381K,No View,No,1993,98077,3.5,4,1.5,11,47.7279,-122.048,1400000,4380,66613
3.2,5,Average,3/24/2015,3585300194,1381K,Excellent,No,1973,98177,3.25,5,1,10,47.7633,-122.369,1400000,4140,32700
3.2,5,Average,4/9/2015,3303850290,1381K,No View,No,2002,98006,4,5,2,11,47.5417,-122.111,1400000,4700,22326
2.4,3,Average,4/8/2015,9253900408,1381K,Excellent,Yes,1947,98008,2.75,3,1,8,47.5895,-122.111,1400000,3130,19530
2.4,5,Good,8/5/2014,2068000270,1381K,No View,No,1964,98004,3,5,1,9,47.6425,-122.218,1400000,3850,14990
3.2,4,Average,12/9/2014,4139480200,1381K,Good,No,1997,98006,3.25,4,1,11,47.5503,-122.102,1400000,4290,12103
4.0,4,Average,10/31/2014,9359100750,1381K,Good,No,1976,98040,4.5,4,2,8,47.5806,-122.244,1400000,3080,10550
2.4,4,Good,8/4/2014,1370801331,1381K,Good,No,1951,98199,2.5,4,1,9,47.6408,-122.41,1400000,4040,9630
3.2,5,Average,10/9/2014,2102700025,1381K,Good,No,1957,98116,3.25,5,2,10,47.5717,-122.409,1400000,4300,9270
3.2,4,Average,5/28/2014,148000475,1381K,Excellent,No,2005,98116,3.25,4,1,11,47.5744,-122.406,1400000,4700,9160
2.4,4,Average,4/2/2015,2451000070,1381K,No View,No,2001,98004,2.5,4,2,9,47.5831,-122.193,1400000,2770,8879
4.0,5,Average,5/13/2014,5315100277,1381K,No View,No,2001,98040,4.25,5,2,10,47.5894,-122.243,1400000,3530,7924
3.2,5,Average,12/11/2014,328000160,1381K,Excellent,No,1983,98115,3.75,5,3,9,47.6865,-122.266,1400000,3700,7920
2.4,4,Average,3/25/2015,1370801440,1381K,Good,No,1929,98199,2.5,4,2,10,47.6429,-122.412,1400000,3520,7815
2.4,4,Good,8/29/2014,3931900510,1381K,No View,No,2002,98115,2.5,4,3,8,47.6838,-122.327,1400000,4070,7800
2.4,3,Average,5/14/2014,1250203070,1381K,Average,No,1981,98144,2.5,3,2,10,47.5996,-122.288,1400000,2550,7200
3.2,4,Average,5/28/2014,5699000070,1381K,Good,No,1900,98144,3.25,4,2,10,47.5933,-122.292,1400000,2980,7000
4.0,5,Average,10/22/2014,1245002391,1381K,No View,No,2008,98033,4.25,5,2,10,47.6866,-122.205,1400000,4230,6907
3.2,3,Good,1/30/2015,1118001645,1381K,No View,No,1954,98112,3.25,3,2,9,47.6332,-122.29,1400000,3020,6073
1.6,3,Average,6/18/2014,1370800935,1381K,Good,No,1937,98199,2,3,1.5,10,47.6388,-122.409,1400000,2020,5500
1.6,4,Good,8/22/2014,1336800880,1381K,No View,No,1907,98112,2.25,4,2,9,47.6275,-122.308,1400000,3780,5160
2.4,4,Very Good,5/2/2014,4217401055,1381K,No View,No,1909,98105,2.5,4,1.5,8,47.6578,-122.28,1400000,2920,4000
2.4,4,Average,6/18/2014,1692900095,1381K,No View,No,2005,98033,2.75,4,2,11,47.6651,-122.191,1399950,3870,10046
2.4,3,Average,10/10/2014,5316100106,1381K,No View,No,1967,98112,2.5,3,2,9,47.632,-122.279,1399000,2560,3600
1.6,5,Good,4/2/2015,2525049133,1381K,No View,No,1929,98039,2.25,5,1,7,47.6191,-122.234,1398000,2640,14959
2.4,3,Good,2/27/2015,629000605,1381K,No View,No,1989,98004,2.5,3,2,10,47.5845,-122.199,1398000,2910,10044
1.6,4,Average,7/29/2014,1338300180,1381K,Average,No,1925,98112,2.25,4,2,9,47.6317,-122.304,1395710,3960,8640
2.4,4,Good,10/28/2014,1326059142,1381K,Average,No,1981,98072,3,4,2,10,47.7448,-122.117,1395000,3520,128502
3.2,4,Average,8/15/2014,2798000020,1381K,No View,No,2014,98040,3.5,4,2,10,47.5569,-122.225,1395000,3560,16782
3.2,5,Very Good,5/5/2014,723000114,1381K,Fair,No,1971,98105,3.5,5,2,9,47.6578,-122.286,1395000,4010,8510
3.2,3,Average,12/12/2014,2524000050,1381K,No View,No,1994,98040,3.5,3,2,10,47.5614,-122.215,1393000,4240,21578
3.2,4,Average,3/13/2015,3931900580,1381K,No View,No,2008,98115,3.5,4,2,9,47.6849,-122.327,1389000,3130,3900
1.6,4,Good,4/28/2015,6448000010,1381K,No View,No,1970,98004,2.25,4,2,9,47.6214,-122.227,1388000,2940,20384
2.4,4,Average,6/26/2014,4122900020,1381K,No View,No,1972,98004,3,4,1,9,47.6408,-122.212,1388000,4040,20001
2.4,4,Good,9/22/2014,524059250,1381K,No View,No,1964,98004,2.5,4,1.5,9,47.5969,-122.206,1388000,3450,17400
1.6,5,Average,3/27/2015,2566300100,1381K,No View,No,1955,98004,1.75,5,1,8,47.626,-122.213,1388000,2650,11340
0.8,3,Average,11/18/2014,9829201020,1381K,Average,No,1992,98122,1.25,3,3,11,47.6019,-122.29,1388000,2400,6653
2.4,3,Average,6/26/2014,2225039103,1381K,Good,No,1950,98199,3,3,2,10,47.6466,-122.404,1387800,2480,5500
4.0,4,Average,4/21/2015,713500020,1381K,Average,No,1998,98006,4.5,4,2,11,47.5544,-122.147,1387000,4490,24767
3.2,4,Good,4/21/2015,2579500101,1381K,Good,No,1990,98040,3.5,4,2,11,47.5359,-122.213,1387000,4010,10880
3.2,4,Average,4/10/2015,2625069070,1381K,No View,No,1993,98074,3.25,4,2.5,9,47.6179,-122.005,1385000,4860,181319
2.4,6,Good,5/30/2014,7856410430,1381K,Excellent,No,1977,98006,2.75,6,1,10,47.5601,-122.16,1385000,5700,20000
3.2,4,Average,8/11/2014,5608000010,1381K,Fair,No,2006,98027,3.5,4,2,11,47.5528,-122.093,1385000,4010,15365
3.2,4,Average,7/30/2014,3885801190,1381K,Fair,No,2000,98033,3.5,4,1,10,47.6838,-122.212,1385000,3230,7200
3.2,5,Very Good,11/10/2014,5035300850,1381K,No View,No,1938,98199,3.75,5,2,10,47.653,-122.415,1385000,3290,6480
1.6,3,Average,8/22/2014,3204300455,1381K,Average,No,2000,98112,2.25,3,2,11,47.6301,-122.301,1385000,2930,6000
2.4,3,Good,9/11/2014,6169901130,1381K,Good,No,1911,98119,3,3,2,8,47.6313,-122.369,1385000,2490,3600
3.2,4,Average,6/18/2014,4139480200,1381K,Good,No,1997,98006,3.25,4,1,11,47.5503,-122.102,1384000,4290,12103
3.2,4,Average,5/27/2014,191100672,1346K,No View,No,1997,98040,3.75,4,2.5,10,47.5623,-122.221,1381000,3160,9525
4.0,5,Good,5/12/2015,2524049108,1346K,Average,No,1979,98040,4.25,5,1,10,47.5323,-122.237,1380000,4050,18827
4.0,6,Average,3/5/2015,4139500200,1346K,Average,No,2000,98006,4.5,6,2,11,47.5533,-122.11,1380000,5740,10312
3.2,3,Average,7/23/2014,1269200229,1346K,Excellent,Yes,1978,98070,3.25,3,1,9,47.3907,-122.448,1379900,3786,38038
3.2,5,Very Good,1/14/2015,7153200160,1346K,No View,No,1905,98122,3.25,5,2,9,47.6133,-122.287,1378600,3450,6360
3.2,5,Average,12/9/2014,7430500110,1346K,Average,No,2007,98008,3.5,5,2,10,47.6249,-122.09,1378000,5150,12230
3.2,5,Average,4/3/2015,1234000704,1346K,No View,No,2003,98033,3.5,5,2,9,47.6575,-122.197,1378000,3680,8680
3.2,5,Good,7/15/2014,3627800050,1346K,Good,No,1969,98040,4,5,1,11,47.5333,-122.22,1375000,3760,22763
4.0,5,Average,12/24/2014,1561750040,1346K,No View,No,2014,98074,4.5,5,2,11,47.6018,-122.06,1375000,4350,13405
0.8,3,Good,10/22/2014,8964800370,1346K,No View,No,1953,98004,1.5,3,1,8,47.6194,-122.208,1375000,1850,10572
3.2,4,Average,10/24/2014,3885804260,1346K,No View,No,1996,98033,3.5,4,2,10,47.6848,-122.208,1375000,3500,9523
3.2,5,Average,10/29/2014,4083306045,1346K,Average,No,2014,98103,3.75,5,2,9,47.6497,-122.339,1375000,3330,5042
3.2,4,Average,1/21/2015,9528105305,1346K,No View,No,2014,98103,3.5,4,2,9,47.677,-122.33,1375000,3130,4500
1.6,2,Good,6/6/2014,486000520,1346K,Excellent,No,1936,98117,2.25,2,1.5,9,47.6792,-122.404,1370000,2460,16940
1.6,5,Average,4/14/2015,9359100101,1346K,Average,No,1959,98040,2.25,5,1,8,47.5817,-122.246,1370000,3510,13843
2.4,4,Very Good,5/9/2014,7855200120,1346K,Excellent,No,1962,98006,2.75,4,1,10,47.5627,-122.156,1370000,3720,9450
4.0,4,Good,10/7/2014,4054500390,1346K,No View,No,1989,98077,4.75,4,2,11,47.7285,-122.042,1365000,5310,57346
3.2,5,Average,6/11/2014,4139420430,1346K,Good,No,1995,98006,3.5,5,2,12,47.553,-122.114,1365000,4210,17258
2.4,3,Good,5/30/2014,4217401180,1346K,No View,No,1928,98105,2.5,3,1.5,9,47.6567,-122.281,1365000,2090,6000
3.2,2,Average,7/14/2014,1724069062,1346K,Good,Yes,1990,98075,3.25,2,3,9,47.5684,-122.06,1365000,2700,3444
2.4,4,Average,2/23/2015,856001130,1346K,No View,No,2001,98033,2.5,4,2,10,47.6903,-122.213,1364000,3560,8960
1.6,3,Average,10/9/2014,3536900110,1346K,No View,No,1979,98004,2,3,1,10,47.6381,-122.224,1362500,2310,21318
2.4,4,Good,7/7/2014,1625069101,1346K,No View,No,1987,98053,3,4,2,10,47.6582,-122.038,1360000,5430,108900
1.6,2,Average,2/24/2015,7352200100,1346K,Excellent,Yes,1931,98125,1.75,2,2,8,47.7142,-122.277,1360000,2620,14138
3.2,4,Average,3/23/2015,6389970010,1346K,Fair,No,2014,98034,3.5,4,2,11,47.7089,-122.245,1360000,4120,12626
3.2,4,Very Good,7/1/2014,3271800910,1346K,Good,No,1937,98199,3.5,4,2,10,47.6474,-122.411,1356920,4270,5800
2.4,3,Average,4/24/2015,7431500341,1346K,Good,No,1950,98008,2.5,3,1,9,47.6191,-122.099,1355000,3600,21399
3.2,5,Average,8/14/2014,9286000110,1346K,Average,No,2001,98006,3.75,5,2,11,47.5491,-122.137,1355000,4960,13990
3.2,5,Average,5/29/2014,4039800080,1346K,Average,No,1984,98008,3.5,5,2,10,47.6151,-122.107,1355000,5960,13703
3.2,4,Average,7/9/2014,8081020370,1346K,Average,No,1999,98006,3.5,4,1,11,47.5506,-122.134,1355000,3550,11000
0.8,3,Very Good,6/25/2014,1689401230,1346K,Average,No,1913,98109,1.5,3,2,8,47.6333,-122.347,1355000,2680,4775
4.0,4,Average,4/23/2015,822069112,1346K,No View,No,2002,98038,4.75,4,2.5,11,47.4097,-122.063,1350000,5230,89298
2.4,3,Very Good,3/11/2015,822039084,1346K,Average,Yes,1953,98070,2.5,3,1,9,47.4041,-122.451,1350000,2753,65005
3.2,4,Average,8/5/2014,1424069056,1346K,No View,No,2014,98029,3.75,4,2,9,47.5626,-122.005,1350000,4100,61419
2.4,5,Average,4/23/2015,3401700150,1346K,Average,No,1969,98072,3,5,1.5,10,47.7352,-122.116,1350000,5530,38816
3.2,4,Good,9/3/2014,1795800040,1346K,Excellent,No,1990,98198,3.25,4,2,11,47.405,-122.331,1350000,5370,20388
3.2,4,Very Good,6/9/2014,2581300010,1346K,No View,No,1985,98040,3.25,4,2,10,47.5413,-122.216,1350000,3300,15907
3.2,5,Average,7/28/2014,713500030,1346K,Average,No,1998,98006,3.5,5,2,11,47.5543,-122.148,1350000,4800,14984
3.2,4,Average,3/3/2015,2387600010,1346K,No View,No,2008,98033,3.5,4,2,10,47.6984,-122.206,1350000,4680,12495
1.6,4,Very Good,3/17/2015,8964800930,1346K,No View,No,1948,98004,2,4,1,8,47.6177,-122.217,1350000,2240,10296
1.6,3,Average,8/1/2014,3625049079,1346K,Fair,No,1946,98039,2,3,1,7,47.616,-122.239,1350000,2070,9600
3.2,4,Average,9/26/2014,191100275,1346K,No View,No,1999,98040,3.5,4,2,10,47.5641,-122.221,1350000,3500,9525
4.0,4,Average,1/28/2015,6813600605,1346K,No View,No,2014,98103,4.5,4,3,9,47.6875,-122.33,1350000,3420,7440
2.4,3,Average,7/21/2014,1370800940,1346K,Good,No,1952,98199,2.5,3,1,9,47.6389,-122.409,1350000,2390,5500
3.2,4,Average,11/12/2014,9103000715,1346K,No View,No,1947,98112,3.5,4,2,9,47.6189,-122.286,1350000,3600,5217
3.2,4,Very Good,9/9/2014,8712100350,1346K,No View,No,1925,98112,3.25,4,1.5,9,47.6394,-122.299,1350000,3030,5164
1.6,4,Good,5/7/2015,2804600155,1346K,No View,No,1926,98112,1.75,4,1.5,9,47.643,-122.299,1350000,2000,3728
3.2,4,Average,4/30/2015,8562720420,1346K,Good,No,2006,98027,3.5,4,2,11,47.5375,-122.07,1349000,4740,8611
3.2,4,Average,4/29/2015,629860010,1346K,Average,No,2007,98027,3.5,4,2,10,47.5524,-122.078,1348000,4640,9827
3.2,5,Average,10/31/2014,4151800410,1346K,Average,No,2005,98033,3.25,5,1,10,47.6643,-122.202,1348000,3540,5971
1.6,5,Good,5/12/2014,4122900190,1346K,No View,No,1963,98004,1.75,5,1,8,47.6395,-122.211,1346400,3380,20021
3.2,4,Average,3/25/2015,2998800110,1311K,Excellent,No,2014,98116,3.25,4,2,10,47.5727,-122.409,1345000,3440,4920
2.4,3,Average,5/7/2014,1370803460,1311K,Average,No,1937,98199,3,3,2,10,47.6356,-122.402,1340000,2960,5500
3.2,4,Average,6/26/2014,1251200055,1311K,Good,No,2003,98144,3.5,4,2,10,47.5928,-122.29,1340000,3190,5040
2.4,4,Good,7/21/2014,6613000715,1311K,Fair,No,1938,98105,3,4,2,9,47.6591,-122.27,1340000,2760,4905
3.2,4,Average,10/21/2014,7936500190,1311K,Excellent,Yes,1955,98136,3.75,4,1.5,9,47.5489,-122.398,1339000,2130,34689
2.4,4,Good,6/9/2014,1922000070,1311K,Average,No,1972,98040,2.5,4,2,9,47.5578,-122.212,1339000,4250,19387
3.2,4,Average,1/30/2015,3885806565,1311K,Good,No,1998,98033,3.5,4,2,9,47.6819,-122.208,1339000,2980,6349
2.4,3,Average,9/5/2014,7781600100,1311K,Excellent,Yes,1963,98146,2.75,3,1.5,9,47.4857,-122.361,1338750,2730,38869
2.4,4,Average,10/30/2014,1025039292,1311K,No View,No,1986,98199,2.5,4,2,11,47.6696,-122.416,1337500,2900,21074
3.2,4,Average,11/21/2014,3324079089,1311K,No View,No,2000,98027,4,4,2,10,47.5269,-121.922,1335000,5050,202554
1.6,4,Average,12/18/2014,7351200050,1311K,Excellent,Yes,1934,98125,1.75,4,1.5,7,47.7308,-122.282,1335000,2300,13342
1.6,5,Good,6/13/2014,1336800010,1311K,No View,No,1906,98112,2.25,5,2.5,9,47.6284,-122.312,1335000,4200,5800
4.0,4,Average,11/13/2014,5317100294,1311K,No View,No,2014,98112,4.5,4,3,10,47.6239,-122.29,1333000,3130,5126
3.2,4,Average,4/7/2015,2579500181,1311K,No View,No,2006,98040,3.5,4,2,10,47.5374,-122.216,1330000,3440,9776
0.8,3,Average,6/25/2014,6169900545,1311K,Average,No,1900,98119,1.5,3,1.5,8,47.6308,-122.369,1330000,1940,2885
2.4,5,Average,4/20/2015,5452800310,1311K,Average,No,1964,98040,3,5,1,9,47.5421,-122.229,1328000,3340,10796
1.6,4,Very Good,3/24/2015,1336800065,1311K,No View,No,1907,98112,2.25,4,2,9,47.6272,-122.312,1328000,3260,4640
1.6,3,Good,2/25/2015,868002015,1311K,Good,No,1953,98177,2.25,3,1,10,47.7035,-122.385,1326000,2960,8330
3.2,3,Good,7/29/2014,4379600030,1311K,Average,No,1966,98177,3.75,3,1,10,47.7313,-122.37,1325000,6400,76665
2.4,4,Good,8/8/2014,9578050120,1311K,No View,No,1990,98052,2.5,4,2,12,47.7139,-122.106,1325000,4010,37076
1.6,5,Average,6/12/2014,1802000060,1311K,No View,No,1965,98004,2.25,5,1,8,47.6303,-122.215,1325000,3200,20158
3.2,4,Average,6/17/2014,324069112,1311K,No View,No,2013,98075,4,4,2,11,47.5914,-122.027,1325000,4420,16526
4.0,6,Average,7/10/2014,2424059052,1311K,No View,No,2004,98006,4.25,6,2,10,47.5464,-122.116,1325000,5720,10213
2.4,3,Average,4/30/2015,9541600110,1311K,No View,No,1958,98005,2.5,3,1,9,47.595,-122.173,1325000,3590,8400
2.4,4,Average,5/23/2014,486000510,1311K,Good,No,1988,98117,3,4,1,10,47.6773,-122.403,1325000,3370,7920
1.6,4,Good,6/20/2014,2125049024,1311K,No View,No,1905,98112,2.25,4,1.5,9,47.6329,-122.31,1325000,2870,6280
1.6,3,Good,10/1/2014,7576700150,1311K,No View,No,1913,98122,2.25,3,2,8,47.617,-122.288,1325000,2360,5504
